0.03, false
-6705.3071289063,199.91061401367,-2874.779296875
-6534.978515625,199.9582824707,-2855.8957519531
-6175.5522460938,199.82780456543,-2667.4067382813
-5986.0859375,199.89312744141,-2777.0991210938
-5638.5205078125,199.89526367188,-2903.2705078125
-5485.5483398438,199.88661193848,-3227.248046875
-5725.7973632813,199.93104553223,-3666.5236816406
-5930.5512695313,199.85227966309,-3895.6125488281
-6116.9145507813,199.81774902344,-3945.9030761719
-6427.1787109375,199.91592407227,-4095.9084472656
-6664.82421875,199.90364074707,-4308.634765625
-6877.5703125,199.8553314209,-4388.5581054688
-7478.9501953125,199.90760803223,-4417.5869140625
-7690.462890625,199.86235046387,-4489.6088867188
-7911.6850585938,199.84710693359,-4550.9130859375
-8009.1274414063,199.91195678711,-4597.59765625
-8015.2109375,199.8966217041,-4746.6982421875
-8017.2075195313,199.87007141113,-4904.564453125
-7875.9389648438,199.9447479248,-5474.5087890625
-7508.4428710938,199.89079284668,-5687.5024414063
-7064.6962890625,199.94306945801,-5689.8701171875
-6431.5629882813,199.88372802734,-5253.2524414063
-6436.8237304688,199.89793395996,-4949.8017578125
-6375.7021484375,199.93849182129,-4519.2978515625
-6391.2739257813,199.87283325195,-4135.9609375
-6217.693359375,199.91239929199,-3946.9182128906
-5811.3740234375,199.86683654785,-3777.5610351563
-5515.7338867188,199.9289855957,-3285.7583007813
-5628.8369140625,199.9351348877,-2935.466796875
-5923.6083984375,199.92364501953,-2816.6215820313
-6113.1850585938,199.87249755859,-2669.3024902344
-6606.2084960938,199.84118652344,-2621.0336914063
-6750.74609375,199.84530639648,-2752.5246582031
-6806.7387695313,199.96014404297,-2846.8156738281
