0.05, true
-14024.8359375, 199.8868560791, -4351.98828125
-13698.344726563, 199.93580627441, -4339.6240234375
-13535.69921875, 199.9035949707, -4401.240234375
-13412.876953125, 199.97366333008, -4455.8237304688
-13520.362304688, 199.91326904297, -4309.9995117188
-13521.659179688, 199.87901306152, -4155.0478515625
-13212.521484375, 199.92636108398, -3715.4113769531
-13115.977539063, 199.92692565918, -3674.88671875
-12997.536132813, 199.89768981934, -3782.9360351563
-12898.00390625, 199.83430480957, -3799.4418945313
-12872.771484375, 199.81274414063, -3698.7021484375
-12654.02734375, 199.77239990234, -3589.7490234375
-12223.6875, 199.85078430176, -3471.5744628906
-11809.857421875, 199.86396789551, -3722.9858398438
-11837.879882813, 199.86228942871, -4306.6489257813
-11683.22265625, 199.93197631836, -4449.0952148438
-11749.297851563, 199.89953613281, -4630.8505859375
-12062.655273438, 199.91911315918, -4495.5454101563
-12239.161132813, 199.87944030762, -4514.8935546875
-12348.028320313, 199.84844970703, -4452.2641601563
-12414.51171875, 199.87907409668, -4407.9150390625
-12461.982421875, 199.79072570801, -4409.9799804688
-12405.416015625, 199.9242401123, -4461.6489257813
-12347.04296875, 199.91032409668, -4537.2646484375
-12371.732421875, 199.86042785645, -4611.9731445313
-12461.944335938, 199.8839263916, -4667.1259765625
-12559.051757813, 199.80807495117, -4702.3330078125
-12476.616210938, 199.8522644043, -4715.9208984375
-12373.55859375, 199.82763671875, -4645.1723632813
-12231.600585938, 199.9188079834, -4577.6162109375
-12071.317382813, 199.92143249512, -4605.5737304688
-11939.857421875, 199.92930603027, -4782.2446289063
-11655.8515625, 199.89994812012, -4911.6318359375
-11445.127929688, 199.85856628418, -5357.65234375
-11610.498046875, 199.86723327637, -5549.6362304688
-11819.083984375, 199.9024810791, -5641.8154296875
-12041.858398438, 199.85090637207, -5602.0336914063
-12269.630859375, 199.93881225586, -5481.4409179688
-12459.87109375, 199.90910339355, -5433.365234375
-12671.7890625, 199.89846801758, -5389.6967773438
-12695.353515625, 199.8138885498, -5309.2133789063
-12719.303710938, 199.78164672852, -5290.1728515625
-12767.223632813, 199.86192321777, -5320.5747070313
-12806.053710938, 199.82447814941, -5441.6342773438
-12724.958984375, 199.95387268066, -5738.7114257813
-12849.526367188, 199.90089416504, -5903.0600585938
