0.03, true
-14443.010742188, 199.82069396973, -1467.2570800781
-14516.171875, 199.86260986328, -1764.8646240234
-14703.583007813, 199.90451049805, -2201.1958007813
-14725.40625, 199.88291931152, -2417.3974609375
-14569.830078125, 199.87370300293, -2617.8073730469
-14600.879882813, 199.89984130859, -2857.0593261719
-14681.205078125, 199.87309265137, -2896.4755859375
-14759.965820313, 199.92141723633, -2818.0717773438
-14824.096679688, 199.88829040527, -2806.0185546875
-14815.73046875, 199.8553314209, -2916.6491699219
-14761.984375, 199.87274169922, -2963.9743652344
-14681.04296875, 199.83673095703, -2963.775390625
-14608.841796875, 199.86973571777, -3119.2653808594
-14644.083984375, 199.87899780273, -3185.4182128906
-14780.705078125, 199.91355895996, -3158.5815429688
-14881.326171875, 199.82061767578, -3317.8776855469
-14858.248046875, 199.869140625, -3420.3518066406
-14844.353515625, 199.91012573242, -3602.2045898438
-15073.17578125, 199.86079406738, -3652.9609375
-15134.579101563, 199.89384460449, -3734.8598632813
-15031.899414063, 199.86676025391, -3941.8842773438
