0.05, true
-10566.586914063, 199.88385009766, -4170.2236328125
-10674.298828125, 199.79809570313, -4020.9167480469
-10638.224609375, 199.88952636719, -3882.525390625
-10572.174804688, 199.88209533691, -3796.92578125
-10474.880859375, 199.85717773438, -3754.66015625
-10370.186523438, 199.80015563965, -3557.9787597656
-10464.290039063, 199.82023620605, -3496.6379394531
-10694.298828125, 199.85487365723, -3363.79296875
-10796.778320313, 199.84243774414, -3189.7294921875
-10815.095703125, 199.80563354492, -3111.2124023438
-10912.857421875, 199.91033935547, -2941.9401855469
-11107.140625, 199.88708496094, -2824.1015625
-11111.4140625, 199.84803771973, -2672.8347167969
-10709.0390625, 199.82815551758, -2591.2114257813
-10360.064453125, 199.88459777832, -2317.4099121094
-10532.889648438, 199.9172668457, -2146.048828125
-10814.870117188, 199.9005279541, -2038.9750976563
-10947.186523438, 199.89376831055, -1587.1137695313
-10794.430664063, 199.93273925781, -1420.130859375
