0.03, true
-15208.315429688, 199.92016601563, -13529.198242188
-15359.825195313, 199.90667724609, -13530.09765625
-15404.279296875, 199.92729187012, -13441.5625
-15432.49609375, 199.8740234375, -13030.2109375
-15325.151367188, 199.87536621094, -12815.262695313
-15240.723632813, 199.86514282227, -12772.270507813
-15166.307617188, 199.85504150391, -12711.685546875
-15156.071289063, 199.93547058105, -12583.342773438
-15252.364257813, 199.8611907959, -12388.432617188
-15219.955078125, 199.81488037109, -12244.911132813
-15084.724609375, 199.79965209961, -12138.094726563
