0.04, false
13260.828125, 199.91040039063, -6305.4868164063
13404.646484375, 199.85740661621, -6241.8046875
13583.94921875, 199.87300109863, -6092.0581054688
13569.124023438, 199.86322021484, -5881.2172851563
13401.540039063, 199.84487915039, -5640.2221679688
13141.21875, 199.91346740723, -5299.0864257813
12960.12890625, 199.8717956543, -4835.1225585938
12668.279296875, 199.97587585449, -4389.5458984375
12655.138671875, 199.88359069824, -4250.7680664063
12396.819335938, 199.80429077148, -4044.9750976563
12273.48046875, 199.89631652832, -4071.4206542969
12213.518554688, 199.84550476074, -4330.0991210938
12088.435546875, 199.86087036133, -4554.1274414063
12180.436523438, 199.94709777832, -4922.125
12578.8046875, 199.84059143066, -5374.7275390625
12751.912109375, 199.76496887207, -5531.6948242188
12748.967773438, 199.88339233398, -5594.0205078125
12830.181640625, 199.93606567383, -5814.54296875
