0.04, false
-6335.3315429688, 199.8337097168, -4517.0668945313
-6389.0551757813, 199.81983947754, -4686.7802734375
-6514.5073242188, 199.92852783203, -4772.3173828125
-6538.833984375, 199.91120910645, -4896.7856445313
-6444.8100585938, 199.85710144043, -4979.5693359375
-6456.1650390625, 199.85417175293, -5201.0883789063
-7064.3271484375, 200.01258850098, -5739.44140625
-7820.8432617188, 199.88967895508, -5541.3647460938
-7831.0346679688, 199.88075256348, -5220.5966796875
-7975.4482421875, 199.88786315918, -4917.4077148438
-7996.3706054688, 199.93063354492, -4601.9716796875
-7836.1298828125, 199.89022827148, -4544.0830078125
-7442.8686523438, 199.85577392578, -4410.208984375
-6990.2001953125, 199.87776184082, -4442.2758789063
-6614.9604492188, 199.90351867676, -4308.4038085938
