0.02, false
-1653.78515625, 199.78143310547, 1427.7631835938
-1574.3887939453, 199.81057739258, 1350.3353271484
-1490.6235351563, 199.94966125488, 1275.2878417969
-1444.0211181641, 199.90901184082, 1206.8941650391
-1451.736328125, 199.8062286377, 1121.9935302734
-1486.3508300781, 199.88572692871, 1056.2180175781
-1617.9047851563, 199.80879211426, 1079.8681640625
-1760.5236816406, 199.82716369629, 1162.4580078125
-1719.7679443359, 199.88864135742, 1251.0295410156
-1699.451171875, 199.84848022461, 1413.7939453125
