0.05, false
-1677.5522460938, 199.83522033691, 1680.9488525391
-2012.1896972656, 199.93029785156, 1603.0430908203
-2281.7956542969, 199.84161376953, 1253.78125
-2352.5222167969, 199.8913269043, 637.11901855469
-1932.8956298828, 199.88352966309, 253.60284423828
-1380.1009521484, 199.92980957031, 112.88371276855
-1235.8930664063, 199.88082885742, 242.29782104492
-892.02667236328, 199.92085266113, 439.63388061523
-793.01324462891, 199.92822265625, 691.19073486328
-881.70501708984, 199.91891479492, 1207.0668945313
-1135.677734375, 199.91442871094, 1464.8486328125
-1469.2950439453, 199.90289306641, 1749.5220947266
